cod_agencia_id,product_id,product_description,date,ajuste,safety_stock,inventario,unit_01,envio_01,unit_02,envio_02,Pedido,Cupo,Tinas
14462,41959,BIMBOLETES GOTAS CHOCOLATE 1P 35G BIM_41959,2019-03-26,83,90,2852,244,0,85,0,0,60,0
14463,41959,BIMBOLETES GOTAS CHOCOLATE 1P 35G BIM_41959,2019-03-26,5,0,0,1260,1080,1000,1260,0,60,0
14462,41976,BIMBOLETES VAINILLA 1P 35G BIM_41976,2019-03-26,87,84,2601,180,0,77,0,0,60,0
14463,41976,BIMBOLETES VAINILLA 1P 35G BIM_41976,2019-03-26,5,0,473,1260,960,1000,720,112,60,2
14462,41978,BIRI BIRI NAVIDENO 2P 80G MLA_41978,2019-03-26,0,0,0,0,0,0,0,0,48,0
14463,41978,BIRI BIRI NAVIDENO 2P 80G MLA_41978,2019-03-26,0,0,0,0,0,0,0,0,48,0
14462,42223,MOLDE BLANCO CON ACTILECHE 580G BIM_42223,2019-03-26,170,115,237,270,270,167,100,115,10,12
14463,42223,MOLDE BLANCO CON ACTILECHE 580G BIM_42223,2019-03-26,35,38,105,50,80,0,0,0,10,0
14462,42224,MOLDE BLANCO CON ACTILECHE 600G BIM_42224,2019-03-26,0,0,0,0,0,0,0,0,10,0
14463,42224,MOLDE BLANCO CON ACTILECHE 600G BIM_42224,2019-03-26,0,0,0,0,0,0,0,0,10,0
14463,42228,MOLDE 100PCT INTEGRAL 650G BIM_42228,2019-03-26,0,0,0,0,0,0,0,0,8,0
14462,42496,PAN BLANCO 450G REY_42496,2019-03-26,0,0,0,0,0,0,0,0,10,0
14462,42513,MOLDE 100PCT INTEGRAL 600G BIM_42513,2019-03-26,114,78,104,211,272,124,48,103,8,13
14463,42513,MOLDE 100PCT INTEGRAL 600G BIM_42513,2019-03-26,46,38,53,60,88,60,80,0,8,0
14462,42517,SUPAN INTEGRAL CLASICO 500G SUP_42517,2019-03-26,166,166,1220,608,240,171,0,0,10,0
14463,42517,SUPAN INTEGRAL CLASICO 500G SUP_42517,2019-03-26,81,91,244,444,250,200,340,0,10,0
14462,42525,MEGA BIMBURGUER 4P 300G BIM_42525,2019-03-26,48,23,90,128,105,25,0,29,15,2
14463,42525,MEGA BIMBURGUER 4P 300G BIM_42525,2019-03-26,9,16,105,50,0,23,0,0,15,0
14462,42572,CAJILLA SUBMARINOS 12P 324G DPY MLA_42572,2019-03-26,415,245,1193,528,360,336,0,0,20,0
14463,42572,CAJILLA SUBMARINOS 12P 324G DPY MLA_42572,2019-03-26,200,23,224,300,300,300,0,299,20,15
14462,42574,SUBMARINOS CHOCOMORA 27G MLA_42574,2019-03-26,0,0,0,0,0,0,0,0,75,0
14463,42574,SUBMARINOS CHOCOMORA 27G MLA_42574,2019-03-26,0,0,0,0,0,0,0,0,75,0
14462,42584,BIRI BIRI HALLOWEEN 2P 80G MLA_42584,2019-03-26,0,0,0,0,0,0,0,0,48,0
14462,42609,SUBMARINOS CHOCOLATE 4P 33G MLA_42609,2019-03-26,439,317,762,792,805,343,70,254,35,7
14463,42609,SUBMARINOS CHOCOLATE 4P 33G MLA_42609,2019-03-26,123,81,512,100,0,350,0,142,35,4
14462,42619,SUBMARINOS MANJAR 4P 33G MLA_42619,2019-03-26,436,307,601,665,560,343,245,345,35,10
14463,42619,SUBMARINOS MANJAR 4P 33G MLA_42619,2019-03-26,105,69,79,292,0,350,490,247,35,7
14462,42626,SUBMARINOS VAINILLA 4P 33G MLA_42626,2019-03-26,444,312,1015,891,665,324,35,256,35,7
14463,42626,SUBMARINOS VAINILLA 4P 33G MLA_42626,2019-03-26,126,76,478,299,0,250,0,273,35,8
14462,42629,SUBMARINOS CHOCOLATE 3P 33G MLA_42629,2019-03-26,0,0,0,0,0,0,0,0,,0
14462,42794,MINI ROSQUITAS NATURALES 600G CJ SUP_42794,2019-03-26,0,0,0,0,0,0,0,0,20,0
14463,42794,MINI ROSQUITAS NATURALES 600G CJ SUP_42794,2019-03-26,0,0,0,0,0,0,0,0,20,0
14462,42804,MINI ROSQUITAS INTEGRALES 600G CJ SUP_42804,2019-03-26,0,0,0,0,0,0,0,0,20,0
14463,42804,MINI ROSQUITAS INTEGRALES 600G CJ SUP_42804,2019-03-26,0,0,0,0,0,0,0,0,20,0
14462,44945,MOLDE RENDIDOR 450G SUP_44945,2019-03-26,110,78,190,248,280,127,60,33,10,3
14463,44945,MOLDE RENDIDOR 450G SUP_44945,2019-03-26,102,44,249,60,0,0,0,0,10,0
14462,45011,RAYITA VAINILLA CHOCOLATE 25G BIM_45011,2019-03-26,0,0,0,0,0,0,0,0,72,0
14463,45011,RAYITA VAINILLA CHOCOLATE 25G BIM_45011,2019-03-26,0,0,0,0,0,0,0,0,72,0
14462,45272,MOLDE ARTESANO 500G BIM_45272,2019-03-26,296,235,157,538,567,389,450,284,9,32
14463,45272,MOLDE ARTESANO 500G BIM_45272,2019-03-26,65,57,5,60,81,100,54,142,9,16
14462,47837,MOLDE DOBLE FIBRA 650G BIM_47837,2019-03-26,0,0,0,0,0,0,0,0,8,0
14463,47837,MOLDE DOBLE FIBRA 650G BIM_47837,2019-03-26,0,0,0,0,0,0,0,0,8,0
14462,48639,PANETTONE DI MILANO 900G SUP_48639,2019-03-26,0,0,0,0,0,0,0,0,6,0
14463,48639,PANETTONE DI MILANO 900G SUP_48639,2019-03-26,0,0,0,0,0,0,0,0,6,0
14462,48640,PASCUA 900G GRI_48640,2019-03-26,0,0,0,0,0,0,0,0,12,0
14463,48640,PASCUA 900G GRI_48640,2019-03-26,0,0,0,0,0,0,0,0,12,0
14462,48644,PASCUA 450G BIM_48644,2019-03-26,0,0,0,1,0,0,0,1,6,0
14463,48644,PASCUA 450G BIM_48644,2019-03-26,0,0,0,0,0,0,0,0,6,0
14462,48645,PASCUA CHOCO 450G BIM_48645,2019-03-26,0,0,0,0,0,0,0,0,12,0
14463,48645,PASCUA CHOCO 450G BIM_48645,2019-03-26,0,0,0,0,0,0,0,0,12,0
14462,48661,PASCUA 380G REY_48661,2019-03-26,0,0,0,0,0,0,0,0,16,0
14462,48920,TORTILLINAS CLASICAS GDE 8P 320G BIM_48920,2019-03-26,81,53,89,295,162,60,126,112,18,6
14463,48920,TORTILLINAS CLASICAS GDE 8P 320G BIM_48920,2019-03-26,46,22,93,0,0,30,0,5,18,0
14462,48932,TORTILLINAS INT GDE 8P 320G BIM_48932,2019-03-26,15,11,157,51,0,3,0,0,18,0
14463,48932,TORTILLINAS INT GDE 8P 320G BIM_48932,2019-03-26,12,0,215,0,0,0,0,0,18,0
14462,48948,RAYITA VAINILLA CHOCOLATE 50G BIM_48948,2019-03-26,0,0,0,0,0,0,0,0,45,0
14463,48948,RAYITA VAINILLA CHOCOLATE 50G BIM_48948,2019-03-26,0,0,0,0,0,0,0,0,45,0
14462,49276,SUBMARINOS CHOCOMORA 2P 54G MLA_49276,2019-03-26,0,0,0,0,0,0,0,0,35,0
14463,49276,SUBMARINOS CHOCOMORA 2P 54G MLA_49276,2019-03-26,0,0,0,0,0,0,0,0,35,0
14462,500328,MINI CHOCOSO 20G BIM_500328,2019-03-26,0,0,0,0,0,0,0,0,175,0
14463,500328,MINI CHOCOSO 20G BIM_500328,2019-03-26,0,0,0,0,0,0,0,0,175,0
14462,500329,MINI BROWNIE CHOCOLATE 18G BIM_500329,2019-03-26,0,0,0,0,0,0,0,0,140,0
14463,500329,MINI BROWNIE CHOCOLATE 18G BIM_500329,2019-03-26,0,0,0,0,0,0,0,0,140,0
14462,500330,TOSTADAS INTEGRALES 10P 160G BIM_500330,2019-03-26,69,37,400,241,216,53,0,0,18,0
14463,500330,TOSTADAS INTEGRALES 10P 160G BIM_500330,2019-03-26,63,20,196,0,0,0,0,0,18,0
14462,500331,TOSTADAS NATURALES 10P 160G BIM_500331,2019-03-26,61,49,417,102,90,69,0,0,18,0
14463,500331,TOSTADAS NATURALES 10P 160G BIM_500331,2019-03-26,36,17,247,0,0,0,0,0,18,0
14462,500395,BIMBOLETES CUPCAKE 2P 86G BIM_500395,2019-03-26,0,0,0,0,0,0,0,0,36,0
14463,500395,BIMBOLETES CUPCAKE 2P 86G BIM_500395,2019-03-26,0,0,0,0,0,0,0,0,36,0
14462,500399,FUNDON SECOS AUTOVENTA 3520G GRI_500399,2019-03-26,0,0,0,0,0,0,0,0,2,0
14463,500399,FUNDON SECOS AUTOVENTA 3520G GRI_500399,2019-03-26,0,0,0,0,0,0,0,0,2,0
14462,500400,FUNDON SECOS PREVENTA 1770G GRI_500400,2019-03-26,0,0,0,0,0,0,0,0,3,0
14463,500400,FUNDON SECOS PREVENTA 1770G GRI_500400,2019-03-26,0,0,0,0,0,0,0,0,3,0
14462,500420,MOLDE MED 100PCT INT 425G BIM_500420,2019-03-26,53,40,119,105,96,52,12,23,12,2
14463,500420,MOLDE MED 100PCT INT 425G BIM_500420,2019-03-26,37,25,102,0,0,32,0,0,12,0
14462,500421,MOLDE MED DOBLE FIBRA 425G BIM_500421,2019-03-26,33,37,126,126,48,69,72,19,12,2
14463,500421,MOLDE MED DOBLE FIBRA 425G BIM_500421,2019-03-26,36,25,12,50,36,40,48,55,12,5
14462,500736,TOSTADAS FRUTICEREAL 16P 100G GRI_500736,2019-03-26,1,0,60,15,0,9,0,0,34,0
14463,500736,TOSTADAS FRUTICEREAL 16P 100G GRI_500736,2019-03-26,0,0,38,0,0,0,0,0,34,0
14462,500738,LONCHERA MARINELA 135G MLA_500738,2019-03-26,0,0,0,0,0,0,0,0,32,0
14463,500738,LONCHERA MARINELA 135G MLA_500738,2019-03-26,0,0,0,0,0,0,0,0,32,0
14462,500739,TORTILLINAS INTEG CHIA GDE 8P 320G BIM_500739,2019-03-26,20,14,219,56,0,10,0,0,18,0
14463,500739,TORTILLINAS INTEG CHIA GDE 8P 320G BIM_500739,2019-03-26,26,0,54,18,0,0,0,0,18,0
14462,500749,PACK PROMO BIRI BIRI 160G MLA_500749,2019-03-26,0,0,0,0,0,0,0,0,6,0
14462,500768,KEKE CASERO CHOCOLATE 290G BIM_500768,2019-03-26,0,0,0,0,0,0,0,0,16,0
14463,500768,KEKE CASERO CHOCOLATE 290G BIM_500768,2019-03-26,0,0,0,0,0,0,0,0,16,0
14462,500769,PAN BLANCO AASS 425G REY_500769,2019-03-26,2,0,0,5,10,1,0,0,10,0
14462,500770,DULCE AASS 336G SUP_500770,2019-03-26,0,0,0,0,0,0,0,0,9,0
14463,500770,DULCE AASS 336G SUP_500770,2019-03-26,0,0,0,0,0,0,0,0,9,0
14462,500771,DULCE TT 330G SUP_500771,2019-03-26,66,35,105,93,90,42,0,41,9,5
14463,500771,DULCE TT 330G SUP_500771,2019-03-26,0,0,36,0,0,0,0,0,9,0
14462,500773,MOLDE BLANCO MEDIANO ACTILECHE 400G BIM_500773,2019-03-26,47,34,63,61,60,61,60,20,12,2
14463,500773,MOLDE BLANCO MEDIANO ACTILECHE 400G BIM_500773,2019-03-26,34,21,212,0,0,30,0,0,12,0
14462,500774,MOLDE BLANCO MEDIANO ACTILECHE 390G BIM_500774,2019-03-26,259,185,10,339,432,260,276,325,12,27
