fecha_de_venta,CEVE,item,producto,transitos,existencia,safety_stock,sugerido,pedido_final,pedido_final_camas,pedido_final_tarimas
2019-03-18,12737,42458,TAKIS FUEGO 190G BAR,10,4,3,2,2,0,0
2019-03-18,12737,31808,TAKIS FUEGO 90G BAR,6,20,3,0,0,0,0
2019-03-18,12737,123254,TAKIS FUEGO PLAN COMERCIAL 280G BAR,7,12,5,0,0,0,0
2019-03-18,12737,9488,TOREADAS HABANERO 170G BAR,21,29,10,2,2,0,0
2019-03-18,12737,42158,TOREADAS HABANERO 40G BAR,91,131,38,0,0,0,0
2019-03-18,12737,31702,TOREADAS HABANERO 55G BAR,3,8,1,0,0,0,0
2019-03-18,12737,6476,TOSTACHOS QUESO CB1 70G BAR,91,107,48,59,59,8,1
2019-03-18,12737,123535,TOTOPOS MI TIERRA 310G CB2 BAR,10,7,7,17,17,2,0
2019-03-18,12737,48205,VALENTONES 175G SP BAR,21,21,13,27,27,1,1
2019-03-18,12737,123165,Papatinas Chilix PC 250g BAR,0,4,2,0,0,0,0
2019-03-18,12737,124240,Chips Sal de Mar 46g CT1 BAR,28,26,25,67,67,10,1
2019-03-18,12737,124241,Chips Fuego 46g CT1 BAR,182,508,112,0,0,0,0
2019-03-18,12737,124244,Chips Jalapeno 46g CT1 BAR,182,550,128,0,0,0,0
2019-03-18,12737,124242,Chips a la Diabla 46g CT1 BAR,14,39,9,0,0,0,0
2019-03-18,12737,124245,Chips Adobadas 46g CT1 BAR,21,24,13,18,18,3,0
2019-03-18,12737,124368,Chips Queso 46g CT1 BAR,0,0,0,26,26,,
2019-03-18,12737,124381,Chips Fuego 42g CT1 BAR,0,31,1,0,0,0,0
2019-03-18,12737,124382,Chips Jalapeno 42g CT1 BAR,0,12,1,0,0,0,0
2019-03-18,12737,124383,Chips Sal 42g CT1 BAR,0,17,1,0,0,0,0
2019-03-18,12737,124447,Kiyakis Nvo PC 150g C3H BAR,15,2,5,0,0,0,0
2019-03-18,12737,124445,Kiyakis Nvo PC 95g C3H BAR,5,2,1,0,0,0,0
2019-03-18,12737,124239,Takis Fuego 56g CT1 BAR,127,520,68,0,0,0,0
2019-03-18,12737,124357,Takis Cobra 56g CT1 BAR,0,0,0,4,4,1,0
2019-03-18,12737,124358,Takis Fajita 56g CT1 BAR,49,81,20,0,0,0,0
2019-03-18,12737,124359,Takis Huakamole 56g CT1 BAR,28,35,10,0,0,0,0
2019-03-18,12737,124243,Runners 58g CT1 BAR,91,91,28,0,0,0,0
2019-03-18,12737,124360,Takis Salsa Brava 56g CT1 BAR,14,83,10,0,0,0,0
2019-03-18,12737,124426,Golden Nuts Salados 60g C3H BAR,21,10,7,11,11,1,0
2019-03-18,12737,124427,Golden Nuts Enchilado 60g C3H BAR,10,25,6,3,3,0,0
2019-03-18,12737,124430,Kiyakis 75g C3H BAR,10,0,7,35,35,4,0
2019-03-18,12737,124443,Kiyakis Nvo PC 50g C3H BAR,20,0,6,4,4,0,0
2019-03-18,12737,123277,Gomita Manita Vertical 35g,0,1,0,0,0,0,0
2019-03-18,12737,124144,Almendras Nf 36g CTR RIC,5,15,3,0,0,0,0
2019-03-18,12737,123532,Sushitlan 10p 34g Tira CU VER,0,4,0,0,0,0,0
