sale_center_id,sale_center_name,product_id,product_name,quota,barcode,price,bed,pallet
14462,,501921,Sponch Fresa 6p 90g MLA,50,7861009943643,0.68,0,0
14462,,501922,Principe Vainilla Choco 8p 85g MLA,79,7441029504613,0.52,0,0
14462,,501923,Principe Choc Blanco 8p 85g MLA,79,7441029506181,0.52,0,0
14462,,501924,Bubulubu 12p 420g Dpy RIC,12,74323097474,4.32,0,0
14462,,501925,Bubulubu 35g RIC,144,7861009943636,0.36,0,0
14462,,501926,Mini Bubulubu tira 36p 720g RIC,12,74323077612,5.76,0,0
14462,,501927,Mini Bubulubu 20g RIC,432,74323011616,0.16,0,0
14462,,501928,Paleta Payaso 45g RIC,30,7501000278404,0.6,0,0
14462,,501933,Tostadas Fruticereal 25pcm 125g Prom GRI,30,7861009943612,1.11,0,0
14462,,501938,Pan Frutos Rojos Chia 14p 500g BAU,12,7861009943599,2.82,0,0
14462,,501940,Pan Artesano Integral 13p 500g BIM,9,7861009943650,1.9,0,0
14462,,3442,Mini Rosquita Integral Sampling 10g SUPM,150,220000005762,0.05,0,0
14462,,4011,Ristra Crockets Mix 12p 42g GRI,5,220000005755,5.04,0,0
14462,,4025,Biri Biri Ice 2p 80g MLA,48,7861009942790,0.57,0,0
14462,,6400,Cajilla Navidena P&P 6p 229g BB/MLA,6,220000005816,1.43,0,0
14462,,29485,Molde Miel y Granola 680g BAU,10,7861009940581,2.67,0,0
14462,,29496,Hot Dog 8p 320g REY,11,7861009941144,1.03,0,0
14462,,29519,Dulzones Chocolate 12p 360g BIM,12,7861009940611,2.04,0,0
14462,,29521,Dulzones Chocolate 2p 60g BIM,44,7861009940697,0.62,0,0
14462,,29535,Sampling Molde Rep Cacao 500g BAU,60,220000005809,0.12,0,0
14462,,29537,Pan Dulce 16p 500g Dpy BIM,8,7861009943117,2.88,0,0
14462,,29538,Submarinos Sumergido 2p 54g MLA,35,7861009980181,0.36,0,0
14462,,29545,Tostadas Naturales 4p 25g GRI,90,7861009941427,0.21,0,0
14462,,29547,Submarinos Sumergido 27g MLA,75,7861009942899,0.18,0,0
14462,,29550,Tostadas Integrales 4p 25g GRI,90,7861009941434,0.21,0,0
14462,,29562,Dulzon Chocomanjar 380g SUP,12,7861009941106,3.5,0,0
14462,,29566,Doro 700g SUP,6,7861009940864,11.66,0,0
14462,,29570,Pascua 420g BIM,16,7861009940888,3.25,0,0
14462,,29894,Choconut 750g Cj GRI,6,7861009941694,9.99,0,0
14462,,33288,Submarinos Mix 540g Cj MLA,10,7861009943063,3.58,0,0
14462,,40622,Cajilla Pan Dulce 13p 415g Dpy BIM,9,220000005731,2.32,0,0
14462,,40743,Pan Tostado Queso 42g,60,7861009942702,0.42,0,0
14462,,40749,Pan Tostado Picante 42g,60,7861009942714,0.42,0,0
14462,,40916,Submarino Relleno/Crema Choc 1p 33g MLA,75,7861009941724,0.28,0,0
14462,,40959,Submarino Relleno/Crema Choc 2p 66g MLA,35,7861009941731,0.5,0,0
14462,,40995,Submarino Relleno/ManjarLeche 1p 33g MLA,75,7861009941748,0.28,0,0
14462,,40996,Submarino Relleno/ManjarLeche 2p 66g MLA,35,7861009941755,0.5,0,0
14462,,40997,Submarino Rell/Crema Vainilla 1p 33g MLA,75,7861009941762,0.28,0,0
14462,,41038,Submarino Rell/Crema Vainilla 2p 66g MLA,35,7861009941779,0.5,0,0
14462,,41623,Bimbolete Sabor Vainilla 2p 55g BIM,40,7861009941786,0.39,0,0
14462,,41625,Bimbolete Gotas Chocolate 2p 50g BIM,40,7861009941823,0.39,0,0
14462,,41626,Bimbolete Sabor Coco 2p 50g BIM,40,7861009941816,0.39,0,0
14462,,41627,Keke Vainilla Rebanada 1p 60g BIM,96,7861009941793,0.42,0,0
14462,,41978,Biri Biri Navideno 2p 80g MLA,48,7861009942622,0.53,0,0
14462,,42224,Molde Blanco con Actileche 600g BIM,10,7861009941854,1.66,0,0
14462,,42228,Molde 100pct Integral 650g BIM,8,7861009941861,1.92,0,0
14462,,42574,Submarinos Chocomora 27g MLA,75,786100994292,0.18,0,0
14462,,42584,Biri Biri Halloween 2p 80g MLA,48,7861009942936,0.53,0,0
14462,,42752,Pascua Choco Arandanos Nueces 380g BIM,12,7861009942967,4.17,0,0
14462,,42794,Rosquitas Naturales 150g SUP,20,7861009942943,1.19,0,0
14462,,42804,Rosquitas Integrales 150g SUP,20,7861009942950,1.19,0,0
14462,,44382,Kit Lonchera 212g MLA,9,7861009942486,1.54,0,0
14462,,45011,Rayita Vainilla Chocolate 25g BIM,72,7861009942332,0.18,0,0
14462,,45665,Mix Rosquitas/Tostadas12p 700g SUP,1,220000005687,7.78,0,0
14462,,45776,Mix Cake/Pasteles 34p 217g MLA,1,220000005670,6.59,0,0
14462,,47838,Molde 7 Cereales 550g SUP,10,7861009942400,2.21,0,0
14462,,47881,Molde Blanco Gigante Actileche 800g BIM,8,7861009942387,2.17,0,0
14462,,48616,Bimboletes Gotas Chocolate 4p 50g BIM,40,7861009942288,0.36,0,0
14462,,48639,Panettone Di Milano 900g SUP,6,7861009942097,11.67,0,0
14462,,48641,Pascua 900g SUP,6,7861009942103,9.16,0,0
14462,,48642,Pascua 750g BIM,6,7861009942141,9.17,0,0
14462,,48643,Pascua Choco 750g BIM,6,7861009942165,9.58,0,0
14462,,48645,Pascua Choco 450g BIM,12,7861009942158,4.17,0,0
14462,,48920,Tortillinas Clasicas gde 8p 320g BIM,18,7861009942189,1.57,0,0
14462,,48948,Rayita Vainilla Chocolate 50g BIM,45,7861009942325,0.35,0,0
14462,,49276,Submarinos Chocomora 2p 54g MLA,35,7861009943032,0.36,0,0
14462,,500318,Cajilla Navidena P and P 8p 283g MLA,9,220000005823,1.79,0,0
14462,,500328,Mini Chocoso 20g BIM,175,7705326080578,0.18,0,0
14462,,500329,Mini Brownie Chocolate 18g BIM,140,7705326079107,0.18,0,0
14462,,500395,Bimboletes Fiesta 2p 86g BIM,36,7861009980198,0.71,0,0
14462,,500399,Fundon Secos Autoventa 3520g GRI,2,220000005830,20,0,0
14462,,500400,Fundon Secos Preventa 1770g GRI,3,220000005847,10,0,0
14462,,500738,Lonchera Marinela 135g MLA,32,7861009943223,0.89,0,0
14462,,500749,Pack Promo Biri Biri 160g MLA,6,7861009943230,2.5,0,0
14462,,500768,Keke Casero Chocolate 290g BIM,16,7861009943322,1.57,0,0
14462,,500770,Dulce AASS 336g SUP,9,7861009943131,0.88,0,0
14462,,500781,Pan Dulce 15p 495g Dpy BIM,8,7861009943360,2.68,0,0
14462,,501229,Pack Artesano 660g Prom BIM,6,7861009942424,2.21,0,0
